iter	Passed	Remaining
0	57	57187
1	57	28799
2	58	19285
3	58	14524
4	58	11666
5	58	9759
6	59	8409
7	59	7390
8	59	6598
9	60	5960
10	60	5439
11	60	5003
12	61	4634
13	61	4317
14	61	4044
15	61	3805
16	62	3592
17	62	3404
18	62	3238
19	62	3086
20	63	2948
21	63	2823
22	63	2708
23	64	2604
24	64	2508
25	64	2419
26	64	2335
27	65	2259
28	65	2187
29	65	2121
30	65	2060
31	66	2001
32	66	1946
33	66	1894
34	66	1845
35	67	1799
36	67	1755
37	67	1713
38	67	1674
39	68	1636
40	68	1600
41	68	1566
42	68	1534
43	69	1503
44	69	1474
45	69	1445
46	69	1418
47	70	1392
48	70	1367
49	70	1344
50	71	1322
51	71	1299
52	71	1278
53	71	1257
54	72	1238
55	72	1219
56	72	1200
57	72	1183
58	73	1166
59	73	1148
60	73	1133
61	73	1118
62	74	1102
63	74	1088
64	74	1074
65	74	1060
66	75	1047
67	75	1034
68	76	1032
69	76	1019
70	77	1007
71	77	995
72	77	984
73	77	972
74	77	961
75	78	950
76	78	940
77	78	930
78	78	920
79	79	910
80	79	901
81	79	892
82	79	881
83	80	872
84	80	864
85	80	855
86	80	848
87	81	840
88	81	833
89	81	825
90	81	818
91	82	813
92	82	806
93	82	799
94	83	792
95	83	785
96	83	778
97	83	772
98	84	765
99	84	759
100	84	753
101	84	747
102	85	741
103	85	735
104	85	729
105	85	723
106	86	718
107	86	712
108	86	707
109	86	701
110	86	696
111	87	691
112	87	686
113	87	681
114	87	676
115	88	671
116	88	667
117	88	663
118	89	659
119	89	655
120	89	651
121	89	646
122	90	642
123	90	638
124	90	634
125	90	630
126	91	626
127	91	622
128	91	619
129	91	615
130	92	611
131	92	607
132	92	603
133	92	600
134	93	596
135	93	593
136	93	589
137	93	586
138	94	582
139	94	579
140	94	576
141	94	572
142	94	568
143	95	565
144	95	562
145	95	559
146	95	556
147	96	553
148	96	550
149	96	547
150	96	544
151	97	541
152	97	539
153	97	536
154	97	533
155	98	531
156	98	528
157	98	525
158	98	523
159	99	520
160	99	517
161	99	514
162	99	511
163	99	509
164	100	506
165	100	504
166	100	501
167	100	499
168	101	496
169	101	494
170	101	492
171	101	489
172	101	487
173	102	485
174	102	483
175	102	480
176	102	478
177	103	476
178	103	474
179	103	472
180	103	470
181	104	467
182	104	465
183	104	463
184	104	461
185	105	459
186	105	457
187	105	455
188	105	453
189	105	451
190	106	449
191	106	447
192	106	446
193	106	444
194	107	442
195	107	440
196	107	438
197	107	436
198	108	434
199	108	433
200	108	431
201	108	429
202	109	428
203	109	426
204	109	424
205	109	423
206	109	421
207	110	419
208	110	418
209	110	416
210	110	414
211	111	413
212	111	411
213	111	410
214	111	408
215	112	407
216	112	405
217	112	404
218	112	402
219	113	400
220	113	399
221	113	398
222	113	396
223	114	395
224	114	393
225	114	392
226	114	391
227	115	389
228	115	388
229	115	386
230	115	385
231	116	384
232	116	382
233	116	381
234	116	379
235	116	378
236	117	377
237	117	375
